trade_date,pct_chg,n_stocks,index
20230207,0.28383906925164004,2718,1068.0285458102812
20230208,-0.47697152857156006,2716,1062.9343537297493
20230209,1.2693533150701761,2716,1076.4267461858374
20230210,-0.31450870935007214,2716,1073.0412903193094
20230213,0.8693910077538759,2716,1082.3702148068314
20230214,0.16854798745325383,2716,1084.1945280206817
20230215,-0.22753424461046098,2716,1081.727614191242
20230216,-0.9836681165772767,2718,1071.0870045422307
20230217,-0.8830181419177068,2719,1061.6291119763998
20230220,2.129235365944868,2721,1084.2336944837677
20230221,0.28488448236896813,2721,1087.3225080319678
20230222,-0.4588613272484089,2722,1082.3332055401415
20230223,-0.1329619190883865,2721,1080.8941145391248
20230224,-0.6161838911169155,2720,1074.2338191253039
20230227,-0.33184874397435105,2721,1070.6689876891887
20230228,0.729776622469238,2723,1078.4824796653727
20230301,1.2345664567283865,2724,1091.797062601014
20230302,-0.05999578432081371,2725,1091.142030390115
20230303,0.5787288049782473,2726,1097.456783623207
20230306,-0.13709961673586532,2727,1095.9521745790178
20230307,-1.2593706107841252,2728,1082.15007498412
20230308,0.024812901726466885,2728,1082.4185878187586
20230309,-0.08311162719074335,2729,1081.5189721174074
20230310,-1.3547154099849807,2731,1066.8674679402218
20230313,1.3459902700798827,2735,1081.2274002533447
20230314,-0.6992740616606992,2735,1073.6666574958049
20230315,0.6597170988135942,2736,1080.749820019565
20230316,-0.8813079098652427,2736,1071.2250863698782
20230317,0.8548465466278087,2736,1080.382417027322
20230320,-0.5577878113369061,2735,1074.3561755893165
20230321,0.7755293836476771,2738,1082.688123416045
20230322,0.5970978916358153,2737,1089.1528313739539
20230323,0.8336137230014213,2739,1098.2321588407456
20230324,-0.44698091982043087,2739,1093.3232706353954
20230327,-0.3572734471394326,2740,1089.417116898019
20230328,-0.15477096597756407,2740,1087.731015502671
20230329,0.02305513909242883,2743,1087.9817934012465
20230330,0.5290720539925989,2743,1093.73800102266
20230331,0.6434403851795905,2741,1100.7755530292957
20230403,0.9334652619176749,2741,1111.0509104285063
20230404,0.6080955960390488,2742,1117.8071620845737
20230406,-0.05769756841262009,2741,1117.1622145325089
20230407,0.5490084399862846,2740,1123.29552937863
20230410,-0.15833718356182755,2749,1121.516934874336
20230411,-0.009477636504018483,2749,1121.4106415759175
20230412,0.6378066183001133,2749,1128.5630728662104
20230413,-0.44340143067887317,2749,1123.5590080550082
20230414,0.6090852076167697,2748,1130.402439771917
20230417,1.366882763783628,2748,1145.853715882549
20230418,0.40537153702299156,2750,1150.4986807026573
20230419,-0.5319638970940782,2750,1144.3784430847757
20230420,0.131816979690927,2750,1145.8869281846842
20230421,-1.9125294016333525,2749,1123.971503773679
20230424,-0.5277036213278876,2749,1118.0402654455718
20230425,-0.22988912729477198,2749,1115.4700124365347
20230426,-0.1485468691867295,2746,1113.8130166563433
20230427,0.7278373549690847,2745,1121.9197638560763
20230428,1.4364808884986435,2746,1138.035926848158
20230504,1.0837578915902601,2736,1150.369481014507
20230505,-0.3370408788431499,2748,1146.4922656057524
20230508,1.9697346343064766,2748,1169.0751208410338
20230509,-1.1056758294228597,2747,1156.1489398020985
20230510,-0.9622667054973898,2746,1145.023703488422
20230511,-0.24627068411326117,2748,1142.2038457805818
20230512,-1.1069688793184156,2749,1129.5600046694128
20230515,1.268914176699183,2749,1143.8931517029869
20230516,-0.6961912274902848,2751,1135.9294679289687
20230517,-0.17872544238664204,2751,1133.8992729622123
20230518,0.5956381897807683,2752,1140.6532100656218
20230519,-0.28911316209173166,2752,1137.3554315014999
20230522,0.4345646698304454,2751,1142.2979763772032
20230523,-1.5419871243458467,2752,1124.6838886598036
20230524,-1.3026510914468956,2753,1110.0331817088493
20230525,-0.08115869592309628,2753,1109.1322932542607
20230526,0.5860023883027834,2752,1115.631834982168
20230529,0.3159450238531575,2750,1119.1566182493157
20230530,0.36233836957519133,2751,1123.211752092873
20230531,-0.5455479935005046,2751,1117.0840929165684
20230601,0.3138130941912636,2750,1120.5896490732682
20230602,0.8971273704704432,2750,1130.6427655257635
20230605,0.1729844900996025,2751,1132.5986021485562
20230606,-1.0568534707797717,2750,1120.6286945117458
20230607,0.11047496921110138,2750,1121.8667087169786
20230608,0.5420419321568164,2749,1127.947696701132
20230609,0.6646172919979886,2750,1135.4442321381007
20230612,0.01789369526817599,2750,1135.6474050689394
20230613,0.36546974961448686,2749,1139.7978527967482
20230614,-0.02700784637331044,2748,1139.4900179436986
20230615,0.8367171789053003,2750,1149.0243266757448
20230616,0.6556373530666443,2748,1156.5577593572534
20230619,-0.41480435666182564,2748,1151.7603073841292
20230620,-0.3827110708257715,2748,1147.3523931783932
20230621,-1.2242240597453642,2750,1133.306229131039
20230626,-1.5466589959403552,2751,1115.7778463866312
20230627,1.3328102952448193,2750,1130.649048395333
20230628,-0.056047980080592114,2751,1130.015342441907
20230629,-0.024055061477056175,2751,1129.7435165565826
20230630,0.7525616723051091,2751,1138.2455332575394
20230703,1.215748771018294,2751,1152.0837393392885
20230704,0.14628981731023094,2750,1153.7691205368287
20230705,-0.6457078784236145,2752,1146.3191424267036
20230706,-0.4554674749549036,2752,1141.098031573768
20230707,-0.3411767744255571,2753,1137.2048701166111
20230710,0.17887721669241427,2752,1139.2390705363662
20230711,0.7040518920712755,2752,1147.259904767693
20230712,-0.79723938737868,2753,1138.1134969312816
20230713,1.6133383600449236,2754,1156.4751185581226
20230714,0.24515074273920534,2755,1159.310225900862
20230717,-0.5491071568528507,2755,1152.9443704803132
20230718,-0.27804672704407063,2755,1149.7386463935538
20230719,0.026944111241844156,2755,1150.0484332534286
20230720,-0.8454502913093886,2755,1140.3253454242886
20230721,-0.050580722246071255,2754,1139.748560628618
20230724,-0.1379219601013004,2754,1138.1765970735726
20230725,2.280402815415404,2754,1164.1316082376377
20230726,-0.4004380987117675,2754,1159.4699817591081
20230727,-0.09531653301618706,2754,1158.3648151711318
20230728,1.891772709774205,2754,1180.2784446241658
20230731,0.5355808330675103,2754,1186.5997897504
20230801,-0.14547950891159744,2753,1184.8735302035252
20230802,-0.8159396542431931,2753,1175.2056772179633
20230803,0.5768924902069389,2754,1181.9853505143194
20230804,0.4829478102177666,2754,1187.693722881723
20230807,-0.5861183441332468,2754,1180.7324320997943
20230808,-0.24566903099004786,2754,1177.8317381752695
20230809,-0.43083236619446313,2754,1172.7572578278996
20230810,0.21870656269019256,2755,1175.3221549151947
20230811,-1.9257085293399847,2755,1152.6888759307703
20230814,-0.23464117860092934,2755,1149.9841931666845
20230815,0.018537712196999998,2755,1150.1973739267248
20230816,-0.8221974252029038,2755,1140.7404807335477
20230817,0.43792404139742364,2754,1145.7360575486323
20230818,-1.0916128347724074,2755,1133.229055691816
20230821,-1.0439310958885424,2754,1121.3989251918051
20230822,1.059456345629707,2754,1133.2796572645732
20230823,-1.3072436370486151,2754,1118.4649310550158
20230824,0.18581869798294975,2754,1120.5432480272982
20230825,-0.5583713977409217,2754,1114.2864550309966
20230828,1.2143463568971755,2754,1127.817752003064
20230829,1.3165117113912699,2753,1142.665604791334
20230830,0.08036193380915851,2753,1143.5838729683164
20230831,-0.3622619822559293,2753,1139.4411033613424
20230901,0.48082136072967374,2753,1144.9197795792375
20230904,1.5088764141387638,2754,1162.1952040941183
20230905,-0.7419057302160958,2754,1153.5728112786471
20230906,0.05984670540165565,2754,1154.2631866006066
20230907,-1.1236452129530274,2754,1141.2933635594898
20230908,-0.1601166707204348,2754,1139.465962622605
20230911,0.8200705133397342,2753,1148.810386991616
20230912,-0.1272936363001596,2754,1147.3480244758202
20230913,-0.4981117953233064,2754,1141.6329486324971
20230914,0.08979111188100328,2754,1142.6580335506742
20230915,-0.3255087373843003,2753,1138.9385818130431
20230918,0.2909623855293979,2754,1142.2524646804009
20230919,-0.06614209895290547,2754,1141.49695492492
20230920,-0.3254535727723801,2754,1137.7819123020288
20230921,-0.7188818055002537,2755,1129.6026051482168
20230922,1.6253876959866909,2755,1147.9630269058407
20230925,-0.45759306106204395,2754,1142.7100277511618
20230926,-0.4517620879828733,2754,1137.5476970702034
20230927,0.013997745617523764,2754,1137.7069281031174
20230928,0.16727701925865188,2751,1139.6100503403475
20231009,-0.13312411706018415,2751,1138.0929545229028
20231010,-0.6390992112939944,2752,1130.8194114267544
20231011,0.2575939705189742,2752,1133.732334048048
20231012,0.9987513781686554,2752,1145.0555013590963
20231013,-0.44629297386342526,2752,1139.9451991096942
20231016,-0.5043995679447527,2753,1134.1953204505776
20231017,0.379227802904476,2753,1138.4965044449677
20231018,-0.7716145785887567,2753,1129.7116994399469
20231019,-1.8094071104353127,2754,1109.270615622861
20231020,-0.8442537429510251,2755,1099.905556931009
20231023,-1.2664985191633267,2755,1085.9752693402827
20231024,0.5508680275146539,2754,1091.9575598857944
20231025,0.4533730586910489,2754,1096.9082012746567
20231026,0.6164596571848855,2754,1103.6701978118672
20231027,1.0369142623432062,2754,1115.11431150221
20231030,0.24666008817582347,2753,1117.8648534462225
20231031,-0.10130251792731307,2755,1116.732428202657
20231101,0.2179787927329347,2755,1119.1666680677101
20231102,-0.4003226705910387,2754,1114.6863901737368
20231103,0.6772686629449829,2755,1122.235811784496
20231106,0.9720487853007207,2750,1133.1444913611567
20231107,0.01942333315860919,2752,1133.3645857908823
20231108,-0.07273689774290085,2753,1132.5402115510615
20231109,0.015475540220821813,2752,1132.715478267017
20231110,-0.4473016913404794,2752,1127.6488227746534
20231113,0.25190938538533275,2753,1130.4894759934098
20231114,0.27367564576157133,2753,1133.5833503671015
20231115,0.6007389207798016,2753,1140.3932267522366
20231116,-0.6444948573395783,2751,1133.0434510523694
20231117,0.08201473734465672,2752,1133.972713662751
20231120,0.46834305409968796,2759,1139.283596102576
20231121,-0.041489827253936316,2760,1138.8109093066205
20231122,-0.7568597376391542,2760,1130.1917080462363
20231123,0.6131466348143066,2761,1137.1214404710722
20231124,-0.6044026176332726,2761,1130.248648719196
20231127,-0.41079518625516165,2761,1125.6056416775432
20231128,0.2815638482386637,2761,1128.774940238242
20231129,-0.6271761429917163,2761,1121.6955331049987
20231130,0.2748166870792626,2761,1124.778139608194
20231201,0.18610728458313605,2761,1126.8714336614034
20231204,-0.24938399518985932,2760,1124.0611966594854
20231205,-1.640769995028844,2761,1105.6179378189343
20231206,-0.009565783664642996,2761,1105.512176798845
20231207,-0.021584726069530734,2760,1105.2735550238178
20231208,0.11369167641422069,2762,1106.5301590574875
20231211,0.7823471832927084,2762,1115.187066589158
20231212,0.4499155593918287,2763,1120.2044667180678
20231213,-1.092819111607463,2764,1107.9626582166923
20231214,-0.39691200693954015,2764,1103.5650213938236
20231215,-0.5156914760994555,2764,1097.8740306452803
20231218,-0.388115148645642,2762,1093.6130152192995
20231219,0.09647674577232938,2761,1094.6680974677258
20231220,-0.9266954009726368,2763,1084.5238585525778
20231221,0.543652000024843,2764,1090.4198942003457
20231222,-0.18664835135901087,2764,1088.3846434449301
20231225,0.19578081031583783,2763,1090.5154917192197
20231226,-0.621863984300308,2763,1083.7339686330026
20231227,0.6326499950196041,2763,1090.5902115315848
20231228,1.4386323417116829,2762,1106.2797950302202
20231229,0.7826807451623221,2762,1114.938433973543
20240102,-0.44470235910933364,2762,1109.9802764550457
20240103,0.04135093317601437,2762,1110.4392636574296
20240104,-0.3784661874083875,2762,1106.2366265127796
20240105,-0.7950513264651331,2763,1097.4414775398466
20240108,-1.3335765498033854,2763,1082.8062553475595
20240109,0.21003627562976648,2764,1085.0805412785776
20240110,-0.7057986011495834,2765,1077.422057996887
20240111,0.4715533964679289,2764,1082.502678305666
20240112,-0.2153372725853603,2763,1080.171646562539
20240115,0.15845473892287654,2763,1081.8832297250187
20240116,0.29142740895610686,2764,1085.036133989337
20240117,-2.0413571201465084,2764,1062.8866716119833
20240118,0.5019828929107812,2766,1068.2221808745046
20240119,-0.4562203023790532,2767,1063.3487344108387
20240122,-2.6015081130281352,2767,1035.6856308153588
20240123,0.5909555423582876,2767,1041.8060724520706
20240124,1.8228545258555915,2768,1060.7966815944017
20240125,2.8389699588453827,2769,1090.9123807092956
20240126,0.23433565458658637,2768,1093.4687773775968
20240129,-0.7865814959747619,2769,1084.8677543104832
20240130,-1.8717681156452373,2769,1064.561545588383
20240131,-1.2242114056838034,2769,1051.5290617267663
20240201,-0.5991713175194787,2769,1045.228601193518
20240202,-1.2969006462463284,2768,1031.6730247098878
20240205,-0.685879734095603,2768,1024.5969885112715
20240206,3.2852507744845396,2770,1058.2575690116832
20240207,1.144074878887738,2770,1070.364828012674
20240208,1.3439536910087342,2770,1084.7500356260095
20240219,1.8694697270238345,2770,1105.0291091559181
20240220,0.5286660585256238,2770,1110.8710229928536
20240221,1.015554767972077,2770,1122.1525266328779
20240222,1.1928403523959723,2770,1135.5380147859858
20240223,0.5240934552617076,2769,1141.4892952034877
20240226,-0.862600529259746,2768,1131.642802501619
20240227,1.3907079345412705,2769,1147.3806487466743
20240228,-1.938627707529008,2768,1125.137209579245
20240229,2.018779521349466,2768,1147.8512491533138
20240301,0.5741028325068693,2768,1154.4410956876684
20240304,0.3633646313243331,2768,1158.6359263188706
20240305,0.4377827052453257,2768,1163.7082340210536
20240306,-0.2676364313964463,2769,1160.5937268316532
20240307,-0.41442408483969145,2769,1155.7839469005241
20240308,0.6835563980121525,2770,1163.6843820167599
20240311,0.9416746475192755,2770,1174.6425028193532
20240312,-0.278178116820314,2770,1171.3749044256394
20240313,-0.39593697971897013,2770,1166.7369980078706
20240314,-0.193610764511094,2770,1164.4780695861937
20240315,0.5074615529218754,2770,1170.3873480815503
20240318,1.046975901402165,2769,1182.6410215690241
20240319,-0.560725072543171,2770,1176.009656842906
20240320,0.5870453268069903,2770,1182.9133665762013
20240321,-0.006117515677643151,2770,1182.8410016655482
20240322,-0.7407678191492884,2770,1174.0788961735068
20240325,-0.8116749322448497,2770,1164.5491920884892
20240326,0.3267477721593074,2769,1168.3543306293375
20240327,-1.3140833208568836,2769,1153.0011812420285
20240328,0.6744571757183987,2769,1160.7776804450332
20240329,0.9158709474062874,2768,1171.4089059842056
20240401,1.4195215807350827,2769,1188.0373082033043
20240402,-0.13877069034000483,2769,1186.3886606292135
20240403,-0.21892084673094167,2768,1183.7914085278442
20240408,-0.7044685747151068,2769,1175.4519700645883
20240409,0.047416354884677346,2770,1176.0093265422129
20240410,-0.7772650615588952,2770,1166.8686169263262
20240411,0.13908051412438865,2770,1168.4915037979035
20240412,-0.5848655227926428,2770,1161.6573998554284
20240415,1.4587603519245689,2769,1178.603197429717
20240416,-1.5585416658364133,2769,1160.234175522895
20240417,2.2741151849409875,2768,1186.619237089336
20240418,0.07918052176541725,2768,1187.5588083926318
20240419,-0.2523666381041226,2768,1184.561806152382
20240422,-0.6162116849249658,2768,1177.2623978877127
20240423,-0.507855537521054,2766,1171.283605608887
20240424,0.7263629632408939,2767,1179.7913759145424
20240425,0.32273823667460094,2766,1183.599013797608
20240426,1.1044661179191344,2761,1196.6714638770277
20240429,0.956921524001389,2760,1208.1226706864497
20240430,-0.2547200363379151,2751,1205.0453401806703
20240506,1.244798796440408,2769,1220.0457300718008
20240507,0.22770820637220585,2768,1222.823874320668
20240508,-0.6476199995874125,2766,1214.9046223508378
20240509,0.7864131514321927,2768,1224.4587920783624
20240510,-0.025870269979345915,2768,1224.142021283066
20240513,-0.2655645912815419,2765,1220.89113352754
20240514,-0.06504750284833982,2768,1220.0969743326837
20240515,-0.6290788427091891,2769,1212.4216024066218
20240516,0.3155181719769223,2770,1216.2470128831885
20240517,0.9491039498855698,2770,1227.7904613228282
20240520,0.5101810220937458,2769,1234.0544152475745
20240521,-0.3113964251916666,2770,1230.2116139135737
20240522,0.04671411909407698,2770,1230.7862964320063
20240523,-1.2252234596483673,2770,1215.706413989984
20240524,-0.8586933269160869,2770,1205.2672241381613
20240527,1.1116517291992343,2768,1218.6655980767646
20240528,-0.5498579022417721,2768,1211.9646689838378
20240529,0.10371541046412663,2768,1213.2216631149545
20240530,-0.5271407587831145,2768,1206.8262772342891
20240531,-0.027068770036536877,2768,1206.4996042045639
20240603,-0.09104698428952301,2769,1205.4011226994708
20240604,0.4921788249172603,2767,1211.3338517807124
20240605,-0.7254921393800808,2769,1202.5457199043933
20240606,-0.4513095651748341,2769,1197.1185160448642
20240607,0.23071286641832786,2768,1199.880422487656
20240611,-0.669600495818454,2767,1191.8460172294501
20240612,0.32345120208902184,2769,1195.7010574992291
20240613,-0.32704216852420015,2769,1191.7906108317168
20240614,0.3047861884387971,2770,1195.4230240086422
20240617,-0.45002802732549774,2769,1190.0432853555012
20240618,0.5635544686306141,2769,1196.7498274687607
20240619,-0.19671630413789012,2770,1194.3956254383877
