ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000905.SH,20230815,5879.7782,5919.7688,5926.4197,5830.9695,5916.8029,-37.0247,-0.6258,92417381.0,107626210.842
000905.SH,20230814,5916.8029,5864.4821,5919.8035,5833.4629,5913.3502,3.4527,0.0584,103675706.0,116321082.192
000905.SH,20230811,5913.3502,6030.0453,6030.0453,5913.3502,6031.7105,-118.3603,-1.9623,113072007.0,115393420.336
000905.SH,20230810,6031.7105,6013.3501,6040.4605,5999.5626,6021.7506,9.9599,0.1654,99842638.0,103950301.369
000905.SH,20230809,6021.7506,6049.449,6062.0243,6012.247,6066.1019,-44.3513,-0.7311,98809174.0,116294678.354
000905.SH,20230808,6066.1019,6077.3032,6088.0983,6044.2376,6090.7307,-24.6288,-0.4044,121545728.0,131357351.526
000905.SH,20230807,6090.7307,6115.8362,6117.9163,6072.5354,6128.556,-37.8253,-0.6172,145319137.0,154416328.543
000905.SH,20230804,6128.556,6126.1504,6164.1552,6105.6391,6098.6868,29.8692,0.4898,196943501.0,186850093.569
000905.SH,20230803,6098.6868,6062.6427,6101.8106,6047.676,6077.4645,21.2223,0.3492,146479011.0,138777463.93
000905.SH,20230802,6077.4645,6088.1355,6111.2437,6059.8653,6098.8789,-21.4144,-0.3511,147154529.0,135758673.345
000905.SH,20230801,6098.8789,6086.8982,6113.9839,6077.1053,6088.2431,10.6358,0.1747,187588600.0,166628364.7
000905.SH,20230731,6088.2431,6059.1096,6133.718,6059.1096,6043.2438,44.9993,0.7446,186551103.0,179595743.483
000905.SH,20230728,6043.2438,5945.9139,6049.7643,5932.0603,5961.1843,82.0595,1.3766,163171871.0,149147477.7
000905.SH,20230727,5961.1843,5998.8485,6017.6706,5952.8932,6001.5402,-40.3559,-0.6724,123000825.0,117272101.565
000905.SH,20230726,6001.5402,6014.7614,6015.5833,5984.3913,6016.6312,-15.091,-0.2508,121825219.0,120547387.6
000905.SH,20230725,6016.6312,5976.9683,6016.7544,5971.7319,5916.7141,99.9171,1.6887,131896392.0,145732847.142
000905.SH,20230724,5916.7141,5913.5709,5954.2372,5896.4481,5925.6255,-8.9114,-0.1504,75928001.0,99623302.711
000905.SH,20230721,5925.6255,5914.3541,5961.0501,5904.7877,5925.4843,0.1412,0.0024,81975307.0,107065413.904
000905.SH,20230720,5925.4843,5996.838,6009.4266,5920.151,5993.4126,-67.9283,-1.1334,91195368.0,123684933.457
000905.SH,20230719,5993.4126,5998.3813,6017.4492,5962.9863,6001.7998,-8.3872,-0.1397,77791034.0,104054562.581
000905.SH,20230718,6001.7998,6015.9819,6027.6063,5984.0598,6012.6895,-10.8897,-0.1811,87719910.0,121310187.887
000905.SH,20230717,6012.6895,6012.7648,6018.0694,5985.4382,6030.5188,-17.8293,-0.2957,88420212.0,124991560.881
000905.SH,20230714,6030.5188,6052.9495,6055.5275,6026.3263,6044.0583,-13.5395,-0.224,94963197.0,137880575.952
000905.SH,20230713,6044.0583,5986.2518,6049.0626,5986.2518,5962.7938,81.2645,1.3629,99656398.0,138941870.295
000905.SH,20230712,5962.7938,6030.6447,6033.5832,5960.431,6029.2318,-66.438,-1.1019,96692241.0,134419386.323
000905.SH,20230711,6029.2318,5991.0207,6029.2318,5972.1378,5984.2814,44.9504,0.7511,84531897.0,117919697.046
000905.SH,20230710,5984.2814,5980.6083,6003.4018,5958.7306,5961.6057,22.6757,0.3804,85168564.0,113940191.97
000905.SH,20230707,5961.6057,5973.9756,5994.2828,5936.2272,5988.5525,-26.9468,-0.45,94118346.0,121687700.019
000905.SH,20230706,5988.5525,6010.6552,6042.2947,5983.4842,6020.8212,-32.2687,-0.536,93965038.0,131979482.563
000905.SH,20230705,6020.8212,6050.3461,6059.3789,6011.87,6055.2577,-34.4365,-0.5687,104129041.0,142198505.817
000905.SH,20230704,6055.2577,6042.7217,6059.5729,6027.2909,6042.3122,12.9455,0.2142,105583765.0,144484638.91
000905.SH,20230703,6042.3122,6009.2697,6056.1632,5997.8471,5998.7293,43.5829,0.7265,113075905.0,153065229.522
000905.SH,20230630,5998.7293,5931.8714,6016.4459,5927.9362,5940.5782,58.1511,0.9789,94504668.0,133367471.517
000905.SH,20230629,5940.5782,5928.709,5964.8577,5924.2783,5942.3112,-1.733,-0.0292,88376857.0,123484005.847
000905.SH,20230628,5942.3112,5945.6446,5951.1273,5857.1313,5948.0029,-5.6917,-0.0957,93944302.0,128454934.663
000905.SH,20230627,5948.0029,5897.6948,5956.181,5884.9486,5887.0324,60.9705,1.0357,93039155.0,118625135.536
000905.SH,20230626,5887.0324,5947.57,5970.6114,5875.9378,5990.8455,-103.8131,-1.7329,111081791.0,148203624.502
000905.SH,20230621,5990.8455,6104.2468,6104.2468,5990.7866,6126.1133,-135.2678,-2.2081,106447766.0,154200972.22
000905.SH,20230620,6126.1133,6122.7448,6144.0071,6100.1435,6131.3849,-5.2716,-0.086,106630832.0,161419763.307
000905.SH,20230619,6131.3849,6148.8548,6148.8548,6126.3881,6148.0125,-16.6276,-0.2705,113787209.0,164780447.141
000905.SH,20230616,6148.0125,6094.8437,6154.9321,6091.1847,6096.8075,51.205,0.8399,115349568.0,165690149.219
000905.SH,20230615,6096.8075,6049.4683,6100.2336,6046.1621,6044.0766,52.7309,0.8724,118417734.0,165700035.083
000905.SH,20230614,6044.0766,6046.4375,6064.2896,6034.4718,6044.0371,0.0395,0.0007,109689021.0,148046160.094
000905.SH,20230613,6044.0371,6016.6857,6047.06,6014.0625,6027.7122,16.3249,0.2708,98680298.0,134425849.549
000905.SH,20230612,6027.7122,5999.6174,6045.6593,5987.2682,6009.5826,18.1296,0.3017,113612471.0,151203107.291
000905.SH,20230609,6009.5826,5968.7001,6017.2812,5960.106,5966.1477,43.4349,0.728,127553432.0,158760400.689
000905.SH,20230608,5966.1477,5971.7247,5992.9692,5922.3872,5987.011,-20.8633,-0.3485,108981632.0,124387889.683
000905.SH,20230607,5987.011,5982.3085,6010.0304,5969.1593,5983.4202,3.5908,0.06,93597892.0,113593743.558
000905.SH,20230606,5983.4202,6088.6625,6089.0746,5969.2945,6097.1059,-113.6857,-1.8646,123045387.0,133636232.835
