month,year,month_num,industry,monthly_ret,monthly_vol,avg_daily_ret,med_pe,med_pb,total_mv,avg_turnover,avg_stock_count
2023-07-01,2023,7,石油石化,0.056300105094670316,0.10502912295112941,0.0026323969420149994,39.62545,1.9875500000000001,249094257.1791,1.1090998015873017,24.0
2023-08-01,2023,8,石油石化,-0.03233147733638875,0.18400659243987288,-0.0013637861645833123,35.69325,1.91175,243279778.3442,1.481841666666667,24.0
2023-09-01,2023,9,石油石化,0.06657980359226956,0.1833036907520954,0.0032908417150738405,35.455,1.9227,249470799.14660004,2.61477178442029,23.8
2023-10-01,2023,10,石油石化,-0.039559562641057866,0.29154627588631915,-0.0022125086158355884,31.1126,1.9295499999999999,225824017.7392,4.166452423578127,23.705882352941178
2023-11-01,2023,11,石油石化,0.009929455125630593,0.09253553964367894,0.00046539752118597344,30.765700000000002,2.11845,226718616.52069998,2.0084349472990777,23.90909090909091
2023-12-01,2023,12,石油石化,-0.04263461121485301,0.13833927944421504,-0.002036305825114678,29.90925,2.0496499999999997,224334615.14559996,1.3478987836438927,23.857142857142858
2024-01-01,2024,1,石油石化,-0.09165019805886843,0.35067957669792904,-0.0041266859457301155,29.537,1.79135,251829642.6915,2.1365429265480897,23.90909090909091
2024-02-01,2024,2,石油石化,0.024086455929670736,0.46430595382725237,0.0019907433932435186,27.183,1.7032,264439120.66869998,2.5899252700294872,23.266666666666666
2024-03-01,2024,3,石油石化,0.053184650134892486,0.21718481674859172,0.0025594537352595014,30.4574,1.838,280846123.2797,2.4697844424726414,23.714285714285715
2024-04-01,2024,4,石油石化,-0.007958256378901352,0.3803087679605845,-0.00012436393100384994,40.7072,1.9842,296465363.5417,3.9353214353002075,23.3
2024-05-01,2024,5,石油石化,-0.005267802531244703,0.2486819825058462,-0.00014813908000736405,39.69395,1.9079,295728496.5142,3.0685290579710145,23.85
2024-06-01,2024,6,石油石化,-0.08625094519839205,0.2670022282278406,-0.004601697745158475,37.80605,1.7942,295132333.0871,1.647913968344775,23.789473684210527
2024-07-01,2024,7,石油石化,-0.03777237550035528,0.2416582896974205,-0.001562264210317886,37.82575,1.6959,270573136.1481,1.3720278276622557,23.82608695652174
2024-08-01,2024,8,石油石化,-0.01721651891914755,0.16326247250463938,-0.0007386613815211128,43.113699999999994,1.7198,273807863.6366,2.201200403491436,23.954545454545453
2024-09-01,2024,9,石油石化,0.13556764732701865,0.366513370163145,0.006958435079861831,37.80605,1.82765,279387694.83729994,1.6793091723874904,23.736842105263158
2024-10-01,2024,10,石油石化,0.00917493760576149,0.45355508455874904,0.0009018949408584083,45.7002,2.0526,253998694.53419998,3.752461917567671,23.444444444444443
2024-11-01,2024,11,石油石化,0.010285236940315245,0.23633502868309653,0.0005933214942224085,46.2937,2.1335,254736731.10450003,4.178974665286404,24.476190476190474
2024-12-01,2024,12,石油石化,-0.04429936308192983,0.20019316216963512,-0.0019809994841215573,44.61135,1.9248500000000002,274244733.6962,2.7004802651515147,24.863636363636363
2025-01-01,2025,1,石油石化,-0.033806397292475365,0.22387095272389237,-0.0018153697154642571,45.1547,1.9329,255049293.22289994,2.430412148953301,24.72222222222222
